Unnamed: 0,filepath,split,label,dataset,architecture
0,cnndetection/train/0_real/natural_0_real_47.png,train,0,CNNDetection,natural
1,cnndetection/train/0_real/natural_0_real_56.png,train,0,CNNDetection,natural
2,cnndetection/train/0_real/natural_0_real_54.png,train,0,CNNDetection,natural
3,cnndetection/train/0_real/natural_0_real_55.png,train,0,CNNDetection,natural
4,cnndetection/train/0_real/natural_0_real_39.png,train,0,CNNDetection,natural
5,cnndetection/train/0_real/natural_0_real_94.png,train,0,CNNDetection,natural
6,cnndetection/train/0_real/natural_0_real_12.png,train,0,CNNDetection,natural
7,cnndetection/train/0_real/natural_0_real_88.png,train,0,CNNDetection,natural
8,cnndetection/train/0_real/natural_0_real_18.png,train,0,CNNDetection,natural
9,cnndetection/train/0_real/natural_0_real_16.png,train,0,CNNDetection,natural
10,cnndetection/train/0_real/natural_0_real_7.png,train,0,CNNDetection,natural
11,cnndetection/train/0_real/natural_0_real_45.png,train,0,CNNDetection,natural
12,cnndetection/train/0_real/natural_0_real_50.png,train,0,CNNDetection,natural
13,cnndetection/train/0_real/natural_0_real_35.png,train,0,CNNDetection,natural
14,cnndetection/train/0_real/natural_0_real_91.png,train,0,CNNDetection,natural
15,cnndetection/train/0_real/natural_0_real_67.png,train,0,CNNDetection,natural
16,cnndetection/train/0_real/natural_0_real_86.png,train,0,CNNDetection,natural
17,cnndetection/train/0_real/natural_0_real_98.png,train,0,CNNDetection,natural
18,cnndetection/train/0_real/natural_0_real_3.png,train,0,CNNDetection,natural
19,cnndetection/train/0_real/natural_0_real_37.png,train,0,CNNDetection,natural
20,cnndetection/train/0_real/natural_0_real_90.png,train,0,CNNDetection,natural
21,cnndetection/train/0_real/natural_0_real_20.png,train,0,CNNDetection,natural
22,cnndetection/train/0_real/natural_0_real_72.png,train,0,CNNDetection,natural
23,cnndetection/train/0_real/natural_0_real_51.png,train,0,CNNDetection,natural
24,cnndetection/train/0_real/natural_0_real_13.png,train,0,CNNDetection,natural
25,cnndetection/train/0_real/natural_0_real_19.png,train,0,CNNDetection,natural
26,cnndetection/train/0_real/natural_0_real_52.png,train,0,CNNDetection,natural
27,cnndetection/train/0_real/natural_0_real_84.png,train,0,CNNDetection,natural
28,cnndetection/train/0_real/natural_0_real_49.png,train,0,CNNDetection,natural
29,cnndetection/train/0_real/natural_0_real_10.png,train,0,CNNDetection,natural
30,cnndetection/train/0_real/natural_0_real_60.png,train,0,CNNDetection,natural
31,cnndetection/train/0_real/natural_0_real_42.png,train,0,CNNDetection,natural
32,cnndetection/train/0_real/natural_0_real_87.png,train,0,CNNDetection,natural
33,cnndetection/train/0_real/natural_0_real_62.png,train,0,CNNDetection,natural
34,cnndetection/train/0_real/natural_0_real_83.png,train,0,CNNDetection,natural
35,cnndetection/train/0_real/natural_0_real_59.png,train,0,CNNDetection,natural
36,cnndetection/train/0_real/natural_0_real_95.png,train,0,CNNDetection,natural
37,cnndetection/train/0_real/natural_0_real_53.png,train,0,CNNDetection,natural
38,cnndetection/train/0_real/natural_0_real_41.png,train,0,CNNDetection,natural
39,cnndetection/train/0_real/natural_0_real_82.png,train,0,CNNDetection,natural
40,cnndetection/train/0_real/natural_0_real_1.png,train,0,CNNDetection,natural
41,cnndetection/train/0_real/natural_0_real_68.png,train,0,CNNDetection,natural
42,cnndetection/train/0_real/natural_0_real_26.png,train,0,CNNDetection,natural
43,cnndetection/train/0_real/natural_0_real_38.png,train,0,CNNDetection,natural
44,cnndetection/train/0_real/natural_0_real_24.png,train,0,CNNDetection,natural
45,cnndetection/train/0_real/natural_0_real_58.png,train,0,CNNDetection,natural
46,cnndetection/train/0_real/natural_0_real_96.png,train,0,CNNDetection,natural
47,cnndetection/train/0_real/natural_0_real_14.png,train,0,CNNDetection,natural
48,cnndetection/train/0_real/natural_0_real_30.png,train,0,CNNDetection,natural
49,cnndetection/train/0_real/natural_0_real_43.png,train,0,CNNDetection,natural
50,cnndetection/train/0_real/natural_0_real_70.png,train,0,CNNDetection,natural
51,cnndetection/train/0_real/natural_0_real_44.png,train,0,CNNDetection,natural
52,cnndetection/train/0_real/natural_0_real_85.png,train,0,CNNDetection,natural
53,cnndetection/train/0_real/natural_0_real_32.png,train,0,CNNDetection,natural
54,cnndetection/train/0_real/natural_0_real_15.png,train,0,CNNDetection,natural
55,cnndetection/train/0_real/natural_0_real_33.png,train,0,CNNDetection,natural
56,cnndetection/train/0_real/natural_0_real_89.png,train,0,CNNDetection,natural
57,cnndetection/train/0_real/natural_0_real_92.png,train,0,CNNDetection,natural
